date,Deathcase,diags
2020/3/20,1,180
2020/3/21,1,304
2020/3/22,2,393
2020/3/23,2,471
2020/3/24,2,639
2020/3/25,3,735
2020/3/26,3,868
2020/3/27,3,1005
2020/3/28,3,1202
2020/3/29,4,1380
2020/3/3,0,0
2020/3/30,10,1570
2020/3/31,12,1894
2020/3/4,0,0
2020/3/5,0,1
2020/3/6,0,1
2020/3/7,0,1
2020/3/8,0,3
2020/3/9,0,3
2020/4/1,13,2248
2020/4/10,97,4594
2020/4/11,105,4837
2020/4/12,105,5220
2020/4/13,108,5304
2020/4/14,123,5431
2020/4/15,123,5431
2020/4/16,135,5726
2020/4/17,140,5804
2020/4/18,141,6293
2020/4/19,147,6708
2020/4/2,35,2764
2020/4/20,151,6908
2020/4/21,156,7093
2020/4/22,156,7093
2020/4/23,170,7959
2020/4/24,168,8449
2020/4/25,176,8834
2020/4/26,179,9298
2020/4/3,40,2826
2020/4/4,49,3041
2020/4/5,52,3282
2020/4/6,64,3443
2020/4/7,71,3790
2020/4/8,80,4050
2020/4/9,93,4321
